model,slice,dataset,best_valid_score,total_epochs,recall@5,recall@10,recall@20,mrr@5,mrr@10,mrr@20,ndcg@5,ndcg@10,ndcg@20,hit@5,hit@10,hit@20
GRU4Rec,2,realestate_slice2,0.8823,50,0.8999,0.9101,0.9195,0.8762,0.8776,0.8783,0.8822,0.8855,0.8879,0.8999,0.9101,0.9195
GRU4Rec,1,realestate_slice1,0.8879,50,0.9039,0.9134,0.9221,0.8808,0.8821,0.8827,0.8867,0.8897,0.8919,0.9039,0.9134,0.9221
GRU4Rec,3,realestate_slice3,0.8861,50,0.9022,0.9116,0.9204,0.879,0.8803,0.8809,0.8849,0.8879,0.8902,0.9022,0.9116,0.9204
GRU4Rec,5,realestate_slice5,0.8821,50,0.9,0.9102,0.9185,0.8749,0.8763,0.8768,0.8812,0.8845,0.8866,0.9,0.9102,0.9185
GRU4Rec,4,realestate_slice4,0.8859,50,0.9027,0.9126,0.9215,0.881,0.8823,0.8829,0.8865,0.8897,0.8919,0.9027,0.9126,0.9215
NARM,2,realestate_slice2,-inf,50,0.9226,0.93,0.9366,0.9031,0.9041,0.9045,0.908,0.9104,0.9121,0.9226,0.93,0.9366
NARM,1,realestate_slice1,-inf,50,0.926,0.9331,0.9392,0.9066,0.9076,0.908,0.9115,0.9138,0.9154,0.926,0.9331,0.9392
NARM,3,realestate_slice3,-inf,50,0.9253,0.9325,0.9398,0.9074,0.9084,0.9089,0.9119,0.9143,0.9161,0.9253,0.9325,0.9398
NARM,5,realestate_slice5,-inf,50,0.9255,0.933,0.94,0.9058,0.9068,0.9073,0.9108,0.9132,0.915,0.9255,0.933,0.94
NARM,4,realestate_slice4,-inf,50,0.9254,0.9331,0.9397,0.9074,0.9084,0.9089,0.912,0.9145,0.9161,0.9254,0.9331,0.9397
STAMP,2,realestate_slice2,-inf,50,0.918,0.9251,0.9324,0.9018,0.9028,0.9032,0.9059,0.9082,0.91,0.918,0.9251,0.9324
STAMP,1,realestate_slice1,-inf,50,0.9206,0.9269,0.9341,0.9056,0.9064,0.9069,0.9094,0.9114,0.9133,0.9206,0.9269,0.9341
STAMP,3,realestate_slice3,-inf,50,0.9204,0.9273,0.9345,0.9057,0.9066,0.9071,0.9094,0.9117,0.9135,0.9204,0.9273,0.9345
STAMP,5,realestate_slice5,-inf,50,0.9142,0.9217,0.9285,0.8964,0.8974,0.8979,0.9009,0.9034,0.9051,0.9142,0.9217,0.9285
STAMP,4,realestate_slice4,-inf,50,0.9203,0.9269,0.9338,0.9047,0.9056,0.906,0.9086,0.9107,0.9125,0.9203,0.9269,0.9338
SASRec,1,realestate_slice1,-inf,50,0.927,0.9339,0.9414,0.9071,0.908,0.9086,0.9122,0.9144,0.9163,0.927,0.9339,0.9414
SASRec,4,realestate_slice4,-inf,50,0.928,0.9349,0.9426,0.9086,0.9095,0.9101,0.9135,0.9158,0.9177,0.928,0.9349,0.9426
FPMC,2,realestate_slice2,-inf,50,0.1203,0.1625,0.2135,0.0738,0.0791,0.0826,0.0853,0.0987,0.1115,0.1203,0.1625,0.2135
FPMC,1,realestate_slice1,-inf,50,0.1158,0.1627,0.2128,0.0732,0.0795,0.083,0.0837,0.0989,0.1117,0.1158,0.1627,0.2128
FPMC,3,realestate_slice3,-inf,50,0.127,0.17,0.2156,0.0794,0.0853,0.0884,0.0912,0.1052,0.1167,0.127,0.17,0.2156
FPMC,5,realestate_slice5,-inf,50,0.1265,0.1648,0.2083,0.0839,0.0889,0.092,0.0945,0.1067,0.1179,0.1265,0.1648,0.2083
FPMC,4,realestate_slice4,-inf,50,0.1269,0.1664,0.2105,0.0781,0.0832,0.0864,0.0902,0.1028,0.1141,0.1269,0.1664,0.2105
FOSSIL,2,realestate_slice2,-inf,50,0.8919,0.9059,0.9196,0.8491,0.851,0.852,0.86,0.8645,0.868,0.8919,0.9059,0.9196
FOSSIL,1,realestate_slice1,-inf,50,0.899,0.9127,0.925,0.8587,0.8605,0.8614,0.8689,0.8734,0.8765,0.899,0.9127,0.925
FOSSIL,3,realestate_slice3,-inf,50,0.8981,0.9124,0.9256,0.8592,0.8611,0.862,0.8691,0.8737,0.8771,0.8981,0.9124,0.9256
