model,slice,dataset,best_valid_score,total_epochs,recall@5,recall@10,recall@20,mrr@5,mrr@10,mrr@20,ndcg@5,ndcg@10,ndcg@20,hit@5,hit@10,hit@20
FOSSIL,5,realestate_slice5,-inf,50,0.8974,0.9118,0.9244,0.8526,0.8546,0.8555,0.864,0.8687,0.8719,0.8974,0.9118,0.9244
FOSSIL,4,realestate_slice4,-inf,50,0.8976,0.9112,0.924,0.8588,0.8607,0.8615,0.8687,0.8731,0.8763,0.8976,0.9112,0.924
Random,1,realestate_slice1,-inf,1,0.0002,0.0003,0.0008,0.0001,0.0001,0.0001,0.0001,0.0001,0.0003,0.0002,0.0003,0.0008
Random,2,realestate_slice2,-inf,1,0.0002,0.0004,0.0007,0.0001,0.0001,0.0001,0.0001,0.0002,0.0003,0.0002,0.0004,0.0007
Random,3,realestate_slice3,-inf,1,0.0002,0.0003,0.0008,0.0001,0.0001,0.0002,0.0001,0.0002,0.0003,0.0002,0.0003,0.0008
Random,4,realestate_slice4,-inf,1,0.0001,0.0004,0.0006,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0004,0.0006
Random,5,realestate_slice5,-inf,1,0.0003,0.0005,0.0009,0.0001,0.0002,0.0002,0.0002,0.0003,0.0004,0.0003,0.0005,0.0009
POP,1,realestate_slice1,-inf,1,0.0143,0.0265,0.0456,0.0077,0.0093,0.0106,0.0093,0.0132,0.018,0.0143,0.0265,0.0456
POP,2,realestate_slice2,-inf,1,0.016,0.026,0.0467,0.0079,0.0092,0.0106,0.0099,0.0131,0.0183,0.016,0.026,0.0467
POP,3,realestate_slice3,-inf,1,0.012,0.0236,0.0392,0.0061,0.0076,0.0086,0.0075,0.0112,0.0151,0.012,0.0236,0.0392
POP,4,realestate_slice4,-inf,1,0.0139,0.0242,0.0407,0.0071,0.0084,0.0095,0.0088,0.012,0.0161,0.0139,0.0242,0.0407
POP,5,realestate_slice5,-inf,1,0.0117,0.0224,0.036,0.005,0.0064,0.0073,0.0066,0.01,0.0135,0.0117,0.0224,0.036
RPOP,2,realestate_slice2,-inf,1,0.0212,0.0348,0.059,0.0112,0.013,0.0146,0.0137,0.018,0.0241,0.0212,0.0348,0.059
RPOP,1,realestate_slice1,-inf,1,0.0228,0.0375,0.0619,0.0117,0.0136,0.0153,0.0144,0.0191,0.0252,0.0228,0.0375,0.0619
RPOP,3,realestate_slice3,-inf,1,0.0207,0.0343,0.0573,0.0106,0.0123,0.0139,0.0131,0.0174,0.0232,0.0207,0.0343,0.0573
RPOP,5,realestate_slice5,-inf,1,0.0197,0.0332,0.0559,0.0097,0.0114,0.013,0.0121,0.0165,0.0222,0.0197,0.0332,0.0559
RPOP,4,realestate_slice4,-inf,1,0.0199,0.0346,0.0585,0.0106,0.0125,0.0142,0.0129,0.0176,0.0236,0.0199,0.0346,0.0585
SPOP,1,realestate_slice1,-inf,1,0.8871,0.9237,0.93,0.7176,0.7228,0.7233,0.7604,0.7726,0.7742,0.8871,0.9237,0.93
SPOP,2,realestate_slice2,-inf,1,0.8847,0.9201,0.9269,0.7148,0.7198,0.7203,0.7577,0.7694,0.7712,0.8847,0.9201,0.9269
SPOP,3,realestate_slice3,-inf,1,0.8866,0.9223,0.9285,0.7162,0.7213,0.7218,0.7592,0.771,0.7727,0.8866,0.9223,0.9285
SPOP,5,realestate_slice5,-inf,1,0.8882,0.9238,0.9304,0.7172,0.7222,0.7227,0.7603,0.7721,0.7739,0.8882,0.9238,0.9304
SPOP,4,realestate_slice4,-inf,1,0.8885,0.9245,0.9309,0.7161,0.7213,0.7218,0.7596,0.7716,0.7733,0.8885,0.9245,0.9309
