Model,Recall@5,Recall@5_mean,Recall@5_std,Recall@10,Recall@10_mean,Recall@10_std,Recall@20,Recall@20_mean,Recall@20_std,MRR@5,MRR@5_mean,MRR@5_std,MRR@10,MRR@10_mean,MRR@10_std,MRR@20,MRR@20_mean,MRR@20_std,NDCG@5,NDCG@5_mean,NDCG@5_std,NDCG@10,NDCG@10_mean,NDCG@10_std,NDCG@20,NDCG@20_mean,NDCG@20_std,Hit@5,Hit@5_mean,Hit@5_std,Hit@10,Hit@10_mean,Hit@10_std,Hit@20,Hit@20_mean,Hit@20_std
SPOP,0.8861±nan,0.8861,,0.9229±nan,0.9229,,0.9293±nan,0.9293,,0.7171±nan,0.7171,,0.7223±nan,0.7223,,0.7228±nan,0.7228,,0.7597±nan,0.7597,,0.7720±nan,0.772,,0.7736±nan,0.7736,,0.8861±nan,0.8861,,0.9229±nan,0.9229,,0.9293±nan,0.9293,
POP,0.0135±0.0014,0.01352,0.0014446452851824907,0.0243±0.0020,0.024280000000000003,0.001969009903479411,0.0405±0.0042,0.04054,0.004188436462452307,0.0068±0.0010,0.00678,0.001020784012413988,0.0082±0.0011,0.00816,0.0010549881515922348,0.0092±0.0012,0.009240000000000002,0.0012461942063739502,0.0084±0.0011,0.00844,0.0011458621208504975,0.0118±0.0013,0.01184,0.0012856904759700135,0.0159±0.0018,0.01594,0.001810524785801067,0.0135±0.0014,0.01352,0.0014446452851824907,0.0243±0.0020,0.024280000000000003,0.001969009903479411,0.0405±0.0042,0.04054,0.004188436462452307
Random,0.0002±0.0001,0.00022,8.366600265340754e-05,0.0004±0.0001,0.00035999999999999997,0.00011401754250991381,0.0008±0.0002,0.0008200000000000001,0.00019235384061671342,0.0001±0.0001,0.0001,7.071067811865475e-05,0.0001±0.0000,0.00012000000000000002,4.4721359549995795e-05,0.0001±0.0001,0.00014,5.4772255750516614e-05,0.0001±0.0000,0.00012000000000000002,4.4721359549995795e-05,0.0002±0.0001,0.00016000000000000004,5.4772255750516614e-05,0.0003±0.0001,0.00030000000000000003,7.071067811865475e-05,0.0002±0.0001,0.00022,8.366600265340754e-05,0.0004±0.0001,0.00035999999999999997,0.00011401754250991381,0.0008±0.0002,0.0008200000000000001,0.00019235384061671342
