Model,Recall@5,Recall@5_mean,Recall@5_std,Recall@10,Recall@10_mean,Recall@10_std,Recall@20,Recall@20_mean,Recall@20_std,MRR@5,MRR@5_mean,MRR@5_std,MRR@10,MRR@10_mean,MRR@10_std,MRR@20,MRR@20_mean,MRR@20_std,NDCG@5,NDCG@5_mean,NDCG@5_std,NDCG@10,NDCG@10_mean,NDCG@10_std,NDCG@20,NDCG@20_mean,NDCG@20_std,Hit@5,Hit@5_mean,Hit@5_std,Hit@10,Hit@10_mean,Hit@10_std,Hit@20,Hit@20_mean,Hit@20_std
NARM,0.9273±0.0015,0.92728,0.001502331521336098,0.9347±0.0017,0.9347200000000001,0.0016694310408040536,0.9416±0.0016,0.9415799999999999,0.001573848785620785,0.9086±0.0024,0.9085799999999999,0.0023899790794063356,0.9096±0.0024,0.9095599999999999,0.0024068651811017467,0.9100±0.0024,0.9100400000000001,0.0024130893062628456,0.9133±0.0021,0.9132999999999999,0.0020880613017820876,0.9157±0.0022,0.91572,0.002183346055942574,0.9175±0.0022,0.9174599999999999,0.002189292123038858,0.9273±0.0015,0.92728,0.001502331521336098,0.9347±0.0017,0.9347200000000001,0.0016694310408040536,0.9416±0.0016,0.9415799999999999,0.001573848785620785
GRU4Rec,0.9159±0.0023,0.9158799999999999,0.0022653917983430642,0.9232±0.0024,0.9232199999999999,0.0023594490882407454,0.9296±0.0019,0.92958,0.0019318385025669218,0.8985±0.0030,0.8985,0.0030422031490352605,0.8995±0.0030,0.8995000000000001,0.0030207614933986395,0.8999±0.0030,0.89994,0.002992991814222016,0.9029±0.0029,0.9029,0.0028565713714171536,0.9053±0.0028,0.90526,0.002846576891636668,0.9069±0.0028,0.9068799999999999,0.0027626074639731458,0.9159±0.0023,0.9158799999999999,0.0022653917983430642,0.9232±0.0024,0.9232199999999999,0.0023594490882407454,0.9296±0.0019,0.92958,0.0019318385025669218
STAMP,0.8939±0.0048,0.8938599999999999,0.004808638060823442,0.9028±0.0037,0.9028199999999998,0.003679266231193388,0.9111±0.0033,0.9110799999999999,0.003323702754459256,0.8729±0.0092,0.87292,0.009181067476061773,0.8741±0.0089,0.8741000000000001,0.008914875209446296,0.8747±0.0089,0.8746599999999999,0.00893688983931212,0.8782±0.0080,0.8781800000000001,0.008013551023110762,0.8811±0.0075,0.8810799999999999,0.007534387831801589,0.8832±0.0074,0.8831800000000001,0.007374754233193109,0.8939±0.0048,0.8938599999999999,0.004808638060823442,0.9028±0.0037,0.9028199999999998,0.003679266231193388,0.9111±0.0033,0.9110799999999999,0.003323702754459256
