model,slice,dataset,best_valid_score,best_valid_epoch,total_epochs,recall@5,recall@10,recall@20,mrr@5,mrr@10,mrr@20,ndcg@5,ndcg@10,ndcg@20,hit@5,hit@10,hit@20
GRU4Rec,1,realestate_slice1,-inf,-1,5,0.917,0.9237,0.9305,0.9,0.9009,0.9014,0.9043,0.9064,0.9082,0.917,0.9237,0.9305
GRU4Rec,2,realestate_slice2,-inf,-1,5,0.9122,0.9198,0.927,0.8936,0.8947,0.8952,0.8983,0.9008,0.9026,0.9122,0.9198,0.927
GRU4Rec,3,realestate_slice3,-inf,-1,5,0.9164,0.9238,0.93,0.8991,0.9001,0.9005,0.9035,0.9059,0.9074,0.9164,0.9238,0.93
GRU4Rec,5,realestate_slice5,-inf,-1,5,0.9156,0.9225,0.9284,0.8981,0.899,0.8994,0.9025,0.9047,0.9062,0.9156,0.9225,0.9284
GRU4Rec,4,realestate_slice4,-inf,-1,5,0.9182,0.9263,0.932,0.9017,0.9028,0.9032,0.9059,0.9085,0.91,0.9182,0.9263,0.932
NARM,1,realestate_slice1,-inf,-1,5,0.9278,0.9351,0.9417,0.9086,0.9095,0.91,0.9134,0.9158,0.9175,0.9278,0.9351,0.9417
NARM,2,realestate_slice2,-inf,-1,5,0.9246,0.9318,0.9389,0.905,0.906,0.9065,0.91,0.9123,0.9141,0.9246,0.9318,0.9389
NARM,3,realestate_slice3,-inf,-1,5,0.9279,0.9352,0.9423,0.9099,0.9108,0.9113,0.9144,0.9168,0.9186,0.9279,0.9352,0.9423
NARM,5,realestate_slice5,-inf,-1,5,0.9281,0.9355,0.942,0.908,0.909,0.9094,0.9131,0.9155,0.9171,0.9281,0.9355,0.942
NARM,4,realestate_slice4,-inf,-1,5,0.928,0.936,0.943,0.9114,0.9125,0.913,0.9156,0.9182,0.92,0.928,0.936,0.943
STAMP,1,realestate_slice1,-inf,-1,5,0.8995,0.9062,0.9136,0.8845,0.8853,0.8859,0.8882,0.8904,0.8923,0.8995,0.9062,0.9136
STAMP,2,realestate_slice2,-inf,-1,5,0.892,0.9004,0.9086,0.8724,0.8735,0.874,0.8773,0.88,0.8821,0.892,0.9004,0.9086
STAMP,3,realestate_slice3,-inf,-1,5,0.8985,0.9073,0.9153,0.8795,0.8806,0.8812,0.8843,0.8871,0.8891,0.8985,0.9073,0.9153
STAMP,5,realestate_slice5,-inf,-1,5,0.8893,0.8991,0.9074,0.8655,0.8669,0.8674,0.8715,0.8747,0.8768,0.8893,0.8991,0.9074
STAMP,4,realestate_slice4,-inf,-1,5,0.89,0.9011,0.9105,0.8627,0.8642,0.8648,0.8696,0.8732,0.8756,0.89,0.9011,0.9105
