session_id,session_size,session_avg_price,profile,session_cities,session_neighborhoods,session_bedrooms_med,session_bathrooms_med,session_suites_med,session_parking_med,session_area_med,session_unit_types,recommendations,rec_avg_price,price_diff_pct,price_match,neighborhood_match,city_match,session_bedrooms_median,rec_bedrooms_median,bedrooms_match,bathrooms_match,parking_match,area_match,unit_type_match,avg_similarity,similarity_status,error
S_3759009,5,447450.0,PADRAO,{'Vila Velha': 2},{'Praia de Itaparica': 2},2.0,2.0,1.0,1.0,60.5,{'APARTMENT': 2},"[18193, 27802, 35833, 32816, 19838]",1259000.0,181.37222035981674,GRANDE,SIM,SIM,2.0,3.0,PROXIMO,IGUAL,PROXIMO,GRANDE,SIM,48.76500130616873,MODERADO,
S_2682943,5,481666.6666666667,PADRAO,{'Vitória': 3},{'Jardim Camburi': 3},3.0,2.0,1.0,1.0,72.0,{'APARTMENT': 3},"[18193, 27802, 35833, 32816, 19838]",1259000.0,161.38408304498267,GRANDE,NAO,NAO,3.0,3.0,IGUAL,IGUAL,PROXIMO,GRANDE,SIM,34.25138252529936,MODERADO,
S_3607520,5,2400.0,ECONOMICO,{'Vila Velha': 4},"{'Praia da Costa': 3, 'Itapuã': 1}",2.0,2.0,1.0,1.0,62.5,{'APARTMENT': 4},"[27802, 35833, 18193, 6404, 34088]",1042200.0,43325.0,GRANDE,SIM,SIM,2.0,3.0,PROXIMO,PROXIMO,PROXIMO,GRANDE,SIM,45.22872237631571,MODERADO,
S_3069762,5,1200.0,ECONOMICO,{'Guarapari': 1},{'Muquiçaba': 1},1.0,1.0,0.0,,40.0,{'APARTMENT': 1},,,,,,,,,,,,,,,,no_recommendations
S_3930463,3,1900.0,ECONOMICO,{'Serra': 1},{'Colina de Laranjeiras': 1},2.0,1.0,1.0,1.0,65.0,{'APARTMENT': 1},,,,,,,,,,,,,,,,no_recommendations
S_3091358,5,150000.0,ECONOMICO,{'Vitória': 1},{'Boa Vista': 1},2.0,1.0,0.0,1.0,90.0,{'APARTMENT': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,739.3333333333334,GRANDE,NAO,NAO,2.0,3.0,PROXIMO,PROXIMO,PROXIMO,MODERADO,SIM,31.369656128276823,MODERADO,
S_2356239,5,900000.0,PADRAO,{'Vila Velha': 1},{'Praia da Costa': 1},4.0,3.0,1.0,2.0,160.0,{'APARTMENT': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,39.88888888888889,MODERADO,SIM,SIM,4.0,3.0,PROXIMO,PROXIMO,IGUAL,MODERADO,SIM,52.59402575424673,BOM,
S_3438724,5,2100.0,ECONOMICO,{'Vila Velha': 1},{'Praia de Itaparica': 1},2.0,2.0,1.0,1.0,52.0,{'APARTMENT': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,59852.380952380954,GRANDE,SIM,SIM,2.0,3.0,PROXIMO,IGUAL,PROXIMO,GRANDE,SIM,46.46994673362504,MODERADO,
S_3242482,5,290000.0,ECONOMICO,{'Cariacica': 1},{'Rio Branco': 1},3.0,2.0,1.0,1.0,65.0,{'APARTMENT': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,334.13793103448273,GRANDE,NAO,NAO,3.0,3.0,IGUAL,IGUAL,PROXIMO,GRANDE,SIM,34.81228031504275,MODERADO,
S_4644698,5,75000.0,ECONOMICO,{'Serra': 1},{'Praia de Carapebus': 1},2.0,1.0,0.0,1.0,118.0,{'HOME': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,1578.6666666666667,GRANDE,NAO,SIM,2.0,3.0,PROXIMO,PROXIMO,PROXIMO,SIMILAR,SIM,35.04618904618905,MODERADO,
S_4271684,5,1420.0,ECONOMICO,{'Vitória': 2},{'Jardim da Penha': 2},1.0,1.0,0.0,0.5,50.0,{'APARTMENT': 2},,,,,,,,,,,,,,,,no_recommendations
S_3905887,5,145000.0,ECONOMICO,{'Serra': 1},{'Cidade Continental': 1},2.0,1.0,1.0,1.0,109.0,{'HOME': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,768.2758620689655,GRANDE,NAO,SIM,2.0,3.0,PROXIMO,PROXIMO,PROXIMO,SIMILAR,SIM,35.619376775387,MODERADO,
S_3217769,5,225000.0,ECONOMICO,"{'Vila Velha': 1, 'Guarapari': 1}","{'Coqueiral de Itaparica': 1, 'Ipiranga': 1}",1.5,1.0,0.0,0.5,58.0,{'APARTMENT': 2},"[18193, 27802, 35833, 32816, 19838]",1259000.0,459.55555555555554,GRANDE,NAO,SIM,1.5,3.0,DIFERENTE,PROXIMO,DIFERENTE,GRANDE,SIM,33.99798475876682,MODERADO,
S_3512293,5,165000.0,ECONOMICO,{'Viana': 2},{'Marcílio de Noronha': 2},2.0,1.0,0.0,1.5,82.5,{'HOME': 2},"[18193, 27802, 35833, 32816, 19838]",1259000.0,663.030303030303,GRANDE,NAO,NAO,2.0,3.0,PROXIMO,PROXIMO,PROXIMO,GRANDE,SIM,31.597882418500976,MODERADO,
S_3927629,5,1470000.0,LUXO,{'Vila Velha': 3},"{'Praia da Costa': 2, 'Praia de Itaparica': 1}",3.0,2.0,1.0,2.0,145.0,"{'PENTHOUSE': 2, 'APARTMENT': 1}","[18193, 27802, 35833, 32816, 19838]",1259000.0,-14.35374149659864,SIMILAR,SIM,SIM,3.0,3.0,IGUAL,IGUAL,IGUAL,SIMILAR,SIM,54.61225708739522,BOM,
S_2306856,5,190000.0,ECONOMICO,{'Serra': 1},{'São Francisco': 1},2.0,1.0,1.0,1.0,200.0,{'HOME': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,562.6315789473684,GRANDE,NAO,SIM,2.0,3.0,PROXIMO,PROXIMO,PROXIMO,MODERADO,SIM,34.58681868105952,MODERADO,
S_2503890,4,1990.0,ECONOMICO,{'Vitória': 1},{'Enseada do Suá': 1},3.0,1.0,0.0,0.0,107.0,{'HOME': 1},,,,,,,,,,,,,,,,no_recommendations
S_3168237,5,21000.0,ECONOMICO,{'Cariacica': 1},{'Campo Grande': 1},0.0,4.0,0.0,0.0,245.0,{'BUSINESS': 1},,,,,,,,,,,,,,,,no_recommendations
S_2574859,5,175000.0,ECONOMICO,{'Vila Velha': 2},{'Centro de Vila Velha': 2},1.0,1.0,0.0,0.0,47.0,{'OFFICE': 2},"[18193, 27802, 35833, 32816, 19838]",1259000.0,619.4285714285714,GRANDE,NAO,SIM,1.0,3.0,DIFERENTE,PROXIMO,DIFERENTE,GRANDE,NAO,37.938966091968226,MODERADO,
S_2306805,5,550000.0,PADRAO,{'Vitória': 1},{'Jardim da Penha': 1},2.0,3.0,1.0,1.0,80.0,{'APARTMENT': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,128.9090909090909,GRANDE,NAO,NAO,2.0,3.0,PROXIMO,PROXIMO,PROXIMO,GRANDE,SIM,33.59181723159624,MODERADO,
