"Name","ID","State"
"Pop_20260211_134800","0uiap5ox","finished"
"Random_20260209_231610","y26pogcf","finished"
"FOSSIL_20260209_231934","23qg5r2d","finished"
"FPMC_20260210_000248","24as5qb7","finished"
"ItemKNN_20260210_074527","ncud5kd3","finished"
"GRU4Rec_20260210_054327","4jhn858x","finished"
"TransRec_20260210_081727","uq9lop4p","finished"
"BPR_20260210_010106","9rqrc2an","finished"
"NARM_20260210_032037","oo1cwxxv","finished"
"NextItNet_20260210_224146","zkvuknbp","finished"
"LightGCN_20260210_102636","ijhos5gi","finished"
"Caser_20260211_182743","kdcv34ib","finished"
"SASRec_20260210_150851","nennvhij","finished"
"BERT4Rec_20260211_014458","744prjvb","finished"
