model,slice,dataset,best_valid_score,total_epochs,recall@5,recall@10,recall@20,mrr@5,mrr@10,mrr@20,ndcg@5,ndcg@10,ndcg@20,hit@5,hit@10,hit@20
FPMC,1,realestate_slice1,-inf,5,0.9179,0.9292,0.9382,0.8833,0.8848,0.8855,0.892,0.8957,0.898,0.9179,0.9292,0.9382
FPMC,2,realestate_slice2,-inf,5,0.9125,0.9241,0.9335,0.8757,0.8773,0.8779,0.885,0.8888,0.8912,0.9125,0.9241,0.9335
FPMC,3,realestate_slice3,-inf,5,0.9173,0.9287,0.9376,0.8831,0.8847,0.8853,0.8917,0.8955,0.8977,0.9173,0.9287,0.9376
FPMC,5,realestate_slice5,-inf,5,0.9152,0.928,0.9371,0.8797,0.8815,0.8821,0.8887,0.8929,0.8952,0.9152,0.928,0.9371
FPMC,4,realestate_slice4,-inf,5,0.9187,0.93,0.9388,0.884,0.8855,0.8861,0.8927,0.8964,0.8986,0.9187,0.93,0.9388
FOSSIL,1,realestate_slice1,-inf,5,0.9129,0.9309,0.9428,0.8468,0.8493,0.8501,0.8636,0.8695,0.8725,0.9129,0.9309,0.9428
FOSSIL,2,realestate_slice2,-inf,5,0.906,0.9257,0.9384,0.8358,0.8385,0.8394,0.8536,0.8601,0.8633,0.906,0.9257,0.9384
FOSSIL,3,realestate_slice3,-inf,5,0.9127,0.9307,0.9426,0.847,0.8494,0.8503,0.8637,0.8695,0.8726,0.9127,0.9307,0.9426
FOSSIL,5,realestate_slice5,-inf,5,0.9112,0.9303,0.9432,0.84,0.8426,0.8435,0.8581,0.8643,0.8676,0.9112,0.9303,0.9432
FOSSIL,4,realestate_slice4,-inf,5,0.9148,0.9326,0.944,0.8473,0.8497,0.8505,0.8644,0.8702,0.8732,0.9148,0.9326,0.944
