Model,Recall@5,Recall@5_mean,Recall@5_std,Recall@10,Recall@10_mean,Recall@10_std,Recall@20,Recall@20_mean,Recall@20_std,MRR@5,MRR@5_mean,MRR@5_std,MRR@10,MRR@10_mean,MRR@10_std,MRR@20,MRR@20_mean,MRR@20_std,NDCG@5,NDCG@5_mean,NDCG@5_std,NDCG@10,NDCG@10_mean,NDCG@10_std,NDCG@20,NDCG@20_mean,NDCG@20_std,Hit@5,Hit@5_mean,Hit@5_std,Hit@10,Hit@10_mean,Hit@10_std,Hit@20,Hit@20_mean,Hit@20_std
FOSSIL,0.9115±0.0033,0.91152,0.003340209574263244,0.9300±0.0026,0.93004,0.002580310058888277,0.9422±0.0022,0.9422,0.0021908902300206514,0.8434±0.0052,0.84338,0.005221302519486891,0.8459±0.0051,0.8459000000000001,0.00509656747232881,0.8468±0.0051,0.8467600000000001,0.005061422724886723,0.8607±0.0047,0.86068,0.004697552554256305,0.8667±0.0044,0.8667199999999999,0.004394542069431151,0.8698±0.0043,0.86984,0.0042945314063352925,0.9115±0.0033,0.91152,0.003340209574263244,0.9300±0.0026,0.93004,0.002580310058888277,0.9422±0.0022,0.9422,0.0021908902300206514
FPMC,0.9163±0.0025,0.91632,0.002498399487672064,0.9280±0.0023,0.9279999999999999,0.0022989127865145277,0.9370±0.0021,0.93704,0.0020791825316695974,0.8812±0.0035,0.88116,0.0034767801195933947,0.8828±0.0034,0.88276,0.0034216954861588903,0.8834±0.0034,0.88338,0.003436859031150375,0.8900±0.0032,0.8900200000000001,0.0031964042297556905,0.8939±0.0031,0.8938599999999999,0.0031245799717721876,0.8961±0.0031,0.8961399999999999,0.003050901506112583,0.9163±0.0025,0.91632,0.002498399487672064,0.9280±0.0023,0.9279999999999999,0.0022989127865145277,0.9370±0.0021,0.93704,0.0020791825316695974
