model,recall@5_mean,recall@5_std,recall@10_mean,recall@10_std,recall@20_mean,recall@20_std,mrr@5_mean,mrr@5_std,mrr@10_mean,mrr@10_std,mrr@20_mean,mrr@20_std,ndcg@5_mean,ndcg@5_std,ndcg@10_mean,ndcg@10_std,ndcg@20_mean,ndcg@20_std,hit@5_mean,hit@5_std,hit@10_mean,hit@10_std,hit@20_mean,hit@20_std
GRU4Rec,0.9158799999999999,0.0020262280227062346,0.9232199999999999,0.002110355420302483,0.92958,0.0017278888853164156,0.8985000000000001,0.0027210292170427065,0.8995000000000001,0.0027018512172212556,0.89994,0.0026770132610803403,0.9029,0.002554995107627422,0.90526,0.002546055773151857,0.9068799999999999,0.002470951233836902,0.9158799999999999,0.0020262280227062346,0.9232199999999999,0.002110355420302483,0.92958,0.0017278888853164156
NARM,0.9272799999999999,0.0013437261625792764,0.9347200000000001,0.0014931845163944355,0.9415799999999999,0.0014076931483814276,0.90858,0.002137662274541973,0.9095600000000001,0.002152765663048339,0.9100400000000001,0.002158332689832613,0.9132999999999999,0.00186761880478858,0.91572,0.0019528440797974614,0.9174599999999999,0.001958162403887888,0.9272799999999999,0.0013437261625792764,0.9347200000000001,0.0014931845163944355,0.9415799999999999,0.0014076931483814276
POP,0.01352,0.0012921300244170477,0.024280000000000003,0.0017611359970201052,0.04054,0.003746251459792841,0.00678,0.0009130169768410665,0.00816,0.0009436100889668361,0.009240000000000002,0.0011146299834474216,0.00844,0.0010248902380255165,0.01184,0.001149956520917204,0.01594,0.0016193825983997728,0.01352,0.0012921300244170477,0.024280000000000003,0.0017611359970201052,0.04054,0.003746251459792841
RPOP,0.021,0.0012441864811996634,0.03502,0.001444160655882855,0.05826,0.0021721878371816746,0.010799999999999999,0.000841427358718505,0.012640000000000002,0.0008236504112789599,0.014199999999999999,0.000867179335547152,0.013300000000000001,0.0009273618495495706,0.01782,0.0009744742172063866,0.023620000000000002,0.0011599999999999996,0.021,0.0012441864811996634,0.03502,0.001444160655882855,0.05826,0.0021721878371816746
Random,0.00022,7.483314773547882e-05,0.00035999999999999997,0.00010198039027185571,0.0008200000000000001,0.00017204650534085252,0.0001,6.324555320336759e-05,0.00012000000000000002,4e-05,0.00014,4.898979485566357e-05,0.00012000000000000002,4e-05,0.00016000000000000004,4.898979485566356e-05,0.00030000000000000003,6.324555320336759e-05,0.00022,7.483314773547882e-05,0.00035999999999999997,0.00010198039027185571,0.0008200000000000001,0.00017204650534085252
SASRec,0.9305,0.0013461054936370793,0.9387399999999999,0.001214248738932855,0.94568,0.001444160655882866,0.9124599999999999,0.0017590906741836777,0.9136,0.0017216271373325875,0.9140599999999999,0.0017488281790959447,0.9170400000000001,0.0016280049139974682,0.9197,0.0015543487382180573,0.9214399999999999,0.0016243152403397668,0.9305,0.0013461054936370793,0.9387399999999999,0.001214248738932855,0.94568,0.001444160655882866
SPOP,0.88584,0.0015278743403827394,0.9220200000000001,0.0016916264363032404,0.92852,0.0017080983578237033,0.7158,0.0010295630140987053,0.72094,0.00105375518978559,0.7214400000000001,0.0010537551897855494,0.7586999999999999,0.0010807404868884915,0.77074,0.0011586198686368415,0.7724,0.001140175425099139,0.88584,0.0015278743403827394,0.9220200000000001,0.0016916264363032404,0.92852,0.0017080983578237033
STAMP,0.8938600000000001,0.004300976633277593,0.90282,0.003290835760107149,0.9110799999999999,0.0029728101183896754,0.87292,0.008211796392994618,0.8741,0.007973706791699838,0.8746599999999999,0.007993397275251628,0.8781800000000001,0.007167537931535461,0.8810799999999999,0.006738961344302241,0.88318,0.006596180713109651,0.8938600000000001,0.004300976633277593,0.90282,0.003290835760107149,0.9110799999999999,0.0029728101183896754
