Model,Recall@5,Recall@5_mean,Recall@5_std,Recall@10,Recall@10_mean,Recall@10_std,Recall@20,Recall@20_mean,Recall@20_std,MRR@5,MRR@5_mean,MRR@5_std,MRR@10,MRR@10_mean,MRR@10_std,MRR@20,MRR@20_mean,MRR@20_std,NDCG@5,NDCG@5_mean,NDCG@5_std,NDCG@10,NDCG@10_mean,NDCG@10_std,NDCG@20,NDCG@20_mean,NDCG@20_std,Hit@5,Hit@5_mean,Hit@5_std,Hit@10,Hit@10_mean,Hit@10_std,Hit@20,Hit@20_mean,Hit@20_std
NARM,0.9359±0.0036,0.9359,0.003551525493831261,0.9404±0.0036,0.940375,0.0036178953366103003,0.9439±0.0035,0.9439000000000001,0.003507135583350049,0.9194±0.0039,0.9194249999999999,0.003908431057768991,0.9200±0.0039,0.9200499999999999,0.003941657857636417,0.9203±0.0039,0.9203,0.003899572626156172,0.9237±0.0038,0.9236500000000001,0.003806573262134855,0.9251±0.0038,0.925075,0.003812588796780135,0.9260±0.0038,0.925975,0.0038108398024582447,0.9359±0.0036,0.9359,0.003551525493831261,0.9404±0.0036,0.940375,0.0036178953366103003,0.9439±0.0035,0.9439000000000001,0.003507135583350049
GRU4Rec,0.9335±0.0031,0.93346,0.0031061229853307478,0.9372±0.0030,0.9371600000000001,0.002999666648146076,0.9408±0.0028,0.94078,0.0027878306978724415,0.9191±0.0029,0.9191,0.002878367592924859,0.9196±0.0029,0.9196000000000002,0.002878367592924851,0.9198±0.0028,0.91984,0.002839542216625776,0.9228±0.0029,0.9227599999999999,0.00291427521006511,0.9240±0.0029,0.9239599999999999,0.002912559012277697,0.9249±0.0028,0.9248800000000001,0.0028437651098499814,0.9335±0.0031,0.93346,0.0031061229853307478,0.9372±0.0030,0.9371600000000001,0.002999666648146076,0.9408±0.0028,0.94078,0.0027878306978724415
SPOP,0.9063±0.0028,0.9063000000000001,0.002784780063128879,0.9359±0.0030,0.9359400000000001,0.002981274895074233,0.9410±0.0028,0.94102,0.002777948883618993,0.7535±0.0032,0.75352,0.0032151205265121964,0.7577±0.0032,0.75772,0.0032275377612043608,0.7581±0.0032,0.75814,0.003202811265123198,0.7922±0.0031,0.79216,0.0030826936273330567,0.8020±0.0031,0.8019999999999999,0.003074898372304359,0.8033±0.0030,0.8033199999999999,0.0030458168034207212,0.9063±0.0028,0.9063000000000001,0.002784780063128879,0.9359±0.0030,0.9359400000000001,0.002981274895074233,0.9410±0.0028,0.94102,0.002777948883618993
STAMP,0.9256±0.0050,0.92562,0.004986682263790234,0.9300±0.0051,0.9299799999999999,0.005070207096362041,0.9338±0.0053,0.9338200000000001,0.005301131954592314,0.9113±0.0056,0.9112600000000001,0.005588649210676946,0.9119±0.0056,0.91188,0.005608208270027086,0.9121±0.0056,0.91212,0.00562201031660384,0.9149±0.0054,0.9149,0.005434151267677431,0.9163±0.0055,0.9163399999999999,0.005459670319717097,0.9173±0.0055,0.9173,0.005494542747126476,0.9256±0.0050,0.92562,0.004986682263790234,0.9300±0.0051,0.9299799999999999,0.005070207096362041,0.9338±0.0053,0.9338200000000001,0.005301131954592314
FOSSIL,0.9034±0.0045,0.9033599999999999,0.0045324386372018475,0.9173±0.0045,0.91726,0.004450617934624362,0.9279±0.0045,0.9279400000000001,0.004546207210411747,0.8568±0.0053,0.85684,0.005329446500341295,0.8587±0.0053,0.8587,0.005305186141880425,0.8595±0.0054,0.8594600000000001,0.005350046728767895,0.8687±0.0051,0.86868,0.005117323519184644,0.8732±0.0051,0.8732,0.005068037095365412,0.8759±0.0051,0.8758999999999999,0.005122499389946309,0.9034±0.0045,0.9033599999999999,0.0045324386372018475,0.9173±0.0045,0.91726,0.004450617934624362,0.9279±0.0045,0.9279400000000001,0.004546207210411747
FPMC,0.2299±0.0048,0.22988,0.004829803308624486,0.2634±0.0065,0.26344,0.006481357882419397,0.2939±0.0078,0.29388000000000003,0.007805574930778646,0.1681±0.0058,0.16812,0.0058173877299007755,0.1725±0.0051,0.17253999999999997,0.005132056118165502,0.1747±0.0049,0.17465999999999998,0.004917621376234654,0.1836±0.0053,0.18356,0.005266213060634755,0.1943±0.0040,0.19432,0.004024549664248166,0.2020±0.0035,0.20204,0.0034602023062243097,0.2299±0.0048,0.22988,0.004829803308624486,0.2634±0.0065,0.26344,0.006481357882419397,0.2939±0.0078,0.29388000000000003,0.007805574930778646
RPOP,0.0322±0.0057,0.03219999999999999,0.0056899033383705205,0.0501±0.0066,0.05005999999999999,0.006591130403807833,0.0765±0.0069,0.07649999999999998,0.006906518659932803,0.0177±0.0037,0.017660000000000002,0.003742058257162761,0.0200±0.0038,0.02004,0.0038324926614411157,0.0218±0.0039,0.021799999999999996,0.0038639358172723316,0.0212±0.0042,0.02124,0.004180071769718792,0.0270±0.0044,0.02696,0.004419615367879879,0.0336±0.0046,0.03362,0.004552142352782918,0.0322±0.0057,0.03219999999999999,0.0056899033383705205,0.0501±0.0066,0.05005999999999999,0.006591130403807833,0.0765±0.0069,0.07649999999999998,0.006906518659932803
POP,0.0227±0.0045,0.02274,0.004537400136642128,0.0361±0.0041,0.036059999999999995,0.004054996917384771,0.0582±0.0043,0.058179999999999996,0.004340161287325621,0.0112±0.0030,0.0112,0.002953811097548386,0.0130±0.0029,0.01296,0.002850087717948344,0.0145±0.0029,0.014459999999999997,0.002865833212174079,0.0140±0.0033,0.01404,0.0033238531856867566,0.0183±0.0031,0.0183,0.003069201850644562,0.0239±0.0031,0.02386,0.003134166555880527,0.0227±0.0045,0.02274,0.004537400136642128,0.0361±0.0041,0.036059999999999995,0.004054996917384771,0.0582±0.0043,0.058179999999999996,0.004340161287325621
Random,0.0003±0.0001,0.00026,5.477225575051659e-05,0.0006±0.0002,0.00056,0.00016733200530681512,0.0011±0.0003,0.0010799999999999998,0.0002683281572999747,0.0001±0.0000,0.00012000000000000002,4.4721359549995795e-05,0.0001±0.0001,0.00014000000000000001,5.4772255750516614e-05,0.0002±0.0001,0.0002,7.071067811865474e-05,0.0001±0.0001,0.00014000000000000001,5.4772255750516614e-05,0.0003±0.0001,0.00026,5.477225575051659e-05,0.0004±0.0001,0.0004,0.00010000000000000002,0.0003±0.0001,0.00026,5.477225575051659e-05,0.0006±0.0002,0.00056,0.00016733200530681512,0.0011±0.0003,0.0010799999999999998,0.0002683281572999747
