metric,topk,rank,model,value
recall,5,3,ItemKNN,0.1291
recall,5,4,GRU4Rec,0.1174
recall,5,5,SASRec,0.1162
recall,5,6,TransRec,0.0969
recall,5,7,BPR,0.0941
recall,5,8,NARM,0.0932
recall,5,9,STAMP,0.0923
recall,5,10,FPMC,0.0623
recall,5,11,Random,0.0488
recall,5,12,Caser,0.0048
recall,5,13,NextItNet,0.0018
recall,5,14,BERT4Rec,
