model,slice,dataset,best_valid_score,total_epochs,recall@5,recall@10,recall@20,mrr@5,mrr@10,mrr@20,ndcg@5,ndcg@10,ndcg@20,hit@5,hit@10,hit@20
GRU4Rec,2,realestate_slice2,-inf,50,0.9169,0.9239,0.9308,0.9001,0.901,0.9015,0.9043,0.9066,0.9083,0.9169,0.9239,0.9308
GRU4Rec,1,realestate_slice1,-inf,50,0.9203,0.9269,0.9329,0.9028,0.9036,0.9041,0.9072,0.9093,0.9109,0.9203,0.9269,0.9329
GRU4Rec,4,realestate_slice4,-inf,50,0.9219,0.9279,0.9342,0.9053,0.9061,0.9066,0.9095,0.9115,0.9131,0.9219,0.9279,0.9342
GRU4Rec,5,realestate_slice5,-inf,50,0.9205,0.9266,0.9323,0.9031,0.9039,0.9043,0.9075,0.9095,0.9109,0.9205,0.9266,0.9323
