Model,Recall@5,Recall@5_mean,Recall@5_std,Recall@10,Recall@10_mean,Recall@10_std,Recall@20,Recall@20_mean,Recall@20_std,MRR@5,MRR@5_mean,MRR@5_std,MRR@10,MRR@10_mean,MRR@10_std,MRR@20,MRR@20_mean,MRR@20_std,NDCG@5,NDCG@5_mean,NDCG@5_std,NDCG@10,NDCG@10_mean,NDCG@10_std,NDCG@20,NDCG@20_mean,NDCG@20_std,Hit@5,Hit@5_mean,Hit@5_std,Hit@10,Hit@10_mean,Hit@10_std,Hit@20,Hit@20_mean,Hit@20_std
SASRec,0.9305±0.0017,0.9304999999999999,0.0017378147196982407,0.9388±0.0016,0.938775,0.0015649813630413346,0.9456±0.0019,0.94565,0.0018627936010197292,0.9122±0.0022,0.9122,0.002169485346036397,0.9133±0.0021,0.91335,0.0021268129521265734,0.9138±0.0022,0.9138,0.0021556128285633055,0.9169±0.0020,0.91685,0.002043689474129211,0.9195±0.0020,0.9195249999999999,0.0019551214796017452,0.9212±0.0020,0.921225,0.0020221688027132474,0.9305±0.0017,0.9304999999999999,0.0017378147196982407,0.9388±0.0016,0.938775,0.0015649813630413346,0.9456±0.0019,0.94565,0.0018627936010197292
NARM,0.9273±0.0015,0.92728,0.001502331521336098,0.9347±0.0017,0.9347200000000001,0.0016694310408040536,0.9416±0.0016,0.9415799999999999,0.001573848785620785,0.9086±0.0024,0.9085799999999999,0.0023899790794063356,0.9096±0.0024,0.9095599999999999,0.0024068651811017467,0.9100±0.0024,0.9100400000000001,0.0024130893062628456,0.9133±0.0021,0.9132999999999999,0.0020880613017820876,0.9157±0.0022,0.91572,0.002183346055942574,0.9175±0.0022,0.9174599999999999,0.002189292123038858,0.9273±0.0015,0.92728,0.001502331521336098,0.9347±0.0017,0.9347200000000001,0.0016694310408040536,0.9416±0.0016,0.9415799999999999,0.001573848785620785
GRU4Rec,0.9159±0.0023,0.9158799999999999,0.0022653917983430642,0.9232±0.0024,0.9232199999999999,0.0023594490882407454,0.9296±0.0019,0.92958,0.0019318385025669218,0.8985±0.0030,0.8985,0.0030422031490352605,0.8995±0.0030,0.8995000000000001,0.0030207614933986395,0.8999±0.0030,0.89994,0.002992991814222016,0.9029±0.0029,0.9029,0.0028565713714171536,0.9053±0.0028,0.90526,0.002846576891636668,0.9069±0.0028,0.9068799999999999,0.0027626074639731458,0.9159±0.0023,0.9158799999999999,0.0022653917983430642,0.9232±0.0024,0.9232199999999999,0.0023594490882407454,0.9296±0.0019,0.92958,0.0019318385025669218
SPOP,0.8858±0.0017,0.88584,0.0017082154430867287,0.9220±0.0019,0.9220200000000001,0.0018912958520548818,0.9285±0.0019,0.92852,0.0019097120201747803,0.7158±0.0012,0.7158,0.0011510864433221398,0.7209±0.0012,0.7209399999999999,0.0011781341180018853,0.7214±0.0012,0.7214400000000001,0.0011781341180018402,0.7587±0.0012,0.7586999999999999,0.0012083045973594435,0.7707±0.0013,0.77074,0.001295376393176927,0.7724±0.0013,0.7724,0.0012747548783981974,0.8858±0.0017,0.88584,0.0017082154430867287,0.9220±0.0019,0.9220200000000001,0.0018912958520548818,0.9285±0.0019,0.92852,0.0019097120201747803
STAMP,0.8939±0.0048,0.8938599999999999,0.004808638060823442,0.9028±0.0037,0.9028199999999998,0.003679266231193388,0.9111±0.0033,0.9110799999999999,0.003323702754459256,0.8729±0.0092,0.87292,0.009181067476061773,0.8741±0.0089,0.8741000000000001,0.008914875209446296,0.8747±0.0089,0.8746599999999999,0.00893688983931212,0.8782±0.0080,0.8781800000000001,0.008013551023110762,0.8811±0.0075,0.8810799999999999,0.007534387831801589,0.8832±0.0074,0.8831800000000001,0.007374754233193109,0.8939±0.0048,0.8938599999999999,0.004808638060823442,0.9028±0.0037,0.9028199999999998,0.003679266231193388,0.9111±0.0033,0.9110799999999999,0.003323702754459256
RPOP,0.0210±0.0014,0.021,0.0013910427743243558,0.0350±0.0016,0.03502,0.0016146206984923727,0.0583±0.0024,0.05826,0.0024285798319182345,0.0108±0.0009,0.010799999999999999,0.0009407443861113387,0.0126±0.0009,0.012639999999999998,0.0009208691546577069,0.0142±0.0010,0.014199999999999999,0.0009695359714832657,0.0133±0.0010,0.013300000000000001,0.0010368220676663863,0.0178±0.0011,0.01782,0.0010894952959971877,0.0236±0.0013,0.023620000000000002,0.0012969194269498777,0.0210±0.0014,0.021,0.0013910427743243558,0.0350±0.0016,0.03502,0.0016146206984923727,0.0583±0.0024,0.05826,0.0024285798319182345
POP,0.0135±0.0014,0.01352,0.0014446452851824907,0.0243±0.0020,0.024280000000000003,0.001969009903479411,0.0405±0.0042,0.04054,0.004188436462452307,0.0068±0.0010,0.00678,0.001020784012413988,0.0082±0.0011,0.00816,0.0010549881515922348,0.0092±0.0012,0.009240000000000002,0.0012461942063739502,0.0084±0.0011,0.00844,0.0011458621208504975,0.0118±0.0013,0.01184,0.0012856904759700135,0.0159±0.0018,0.01594,0.001810524785801067,0.0135±0.0014,0.01352,0.0014446452851824907,0.0243±0.0020,0.024280000000000003,0.001969009903479411,0.0405±0.0042,0.04054,0.004188436462452307
Random,0.0002±0.0001,0.00022,8.366600265340754e-05,0.0004±0.0001,0.00035999999999999997,0.00011401754250991381,0.0008±0.0002,0.0008200000000000001,0.00019235384061671342,0.0001±0.0001,0.0001,7.071067811865475e-05,0.0001±0.0000,0.00012000000000000002,4.4721359549995795e-05,0.0001±0.0001,0.00014,5.4772255750516614e-05,0.0001±0.0000,0.00012000000000000002,4.4721359549995795e-05,0.0002±0.0001,0.00016000000000000004,5.4772255750516614e-05,0.0003±0.0001,0.00030000000000000003,7.071067811865475e-05,0.0002±0.0001,0.00022,8.366600265340754e-05,0.0004±0.0001,0.00035999999999999997,0.00011401754250991381,0.0008±0.0002,0.0008200000000000001,0.00019235384061671342
