session_id,session_size,session_avg_price,profile,session_cities,session_bedrooms,recommendations,rec_avg_price,price_diff_pct,price_match,rec_cities,city_match,session_bedrooms_median,rec_bedrooms_median,bedrooms_match,error
S_1533139,5,2550.0,ECONOMICO,{'Vila Velha': 2},{3.0: 2},"[10670, 4671, 20045, 21455, 108]",744589.2,29099.576470588232,GRANDE,"['Serra', 'Guarapari', 'Vitória']",NAO,3.0,2.0,PROXIMO,
S_3571818,5,3500.0,ECONOMICO,{'Vila Velha': 1},{3.0: 1},"[10670, 4671, 20045, 21455, 108]",744589.2,21173.97714285714,GRANDE,"['Serra', 'Guarapari', 'Vitória']",NAO,3.0,2.0,PROXIMO,
S_986321,3,760.0,ECONOMICO,"{'Serra': 2, 'Vitória': 1}","{1.0: 2, 2.0: 1}","[7862, 5639, 17829, 15627, 11753]",1294902.4,170281.89473684208,GRANDE,"['Vila Velha', 'Serra', 'Guarapari']",SIM,1.0,3.0,DIFERENTE,
S_2154967,5,1800.0,ECONOMICO,{'Vila Velha': 1},{1.0: 1},"[10670, 4671, 20045, 21455, 108]",744589.2,41266.066666666666,GRANDE,"['Serra', 'Guarapari', 'Vitória']",NAO,1.0,2.0,PROXIMO,
S_2852164,5,360000.0,PADRAO,{'Vitória': 1},{3.0: 1},"[10670, 4671, 20045, 21455, 108]",744589.2,106.83033333333331,GRANDE,"['Serra', 'Guarapari', 'Vitória']",SIM,3.0,2.0,PROXIMO,
S_710081,5,350000.0,PADRAO,{'Serra': 1},{0.0: 1},"[10670, 4671, 20045, 21455, 108]",744589.2,112.73977142857142,GRANDE,"['Serra', 'Guarapari', 'Vitória']",SIM,0.0,2.0,DIFERENTE,
S_365333,5,5000000.0,LUXO,{'Vitória': 1},{4.0: 1},"[10670, 4671, 20045, 21455, 108]",744589.2,-85.108216,GRANDE,"['Serra', 'Guarapari', 'Vitória']",SIM,4.0,2.0,DIFERENTE,
S_2204740,5,2950.0,ECONOMICO,{'Vitória': 1},{2.0: 1},"[10670, 4671, 20045, 21455, 108]",744589.2,25140.311864406776,GRANDE,"['Serra', 'Guarapari', 'Vitória']",SIM,2.0,2.0,IGUAL,
S_4666437,4,450.0,ECONOMICO,{'Vitória': 1},{0.0: 1},"[10670, 17023, 22312, 20045, 11120]",760000.0,168788.8888888889,GRANDE,"['Vitória', 'Vila Velha', 'Serra', 'Guarapari']",SIM,0.0,3.0,DIFERENTE,
S_4093803,5,87833.33333333333,ECONOMICO,{'Vitória': 3},"{0.0: 2, 2.0: 1}","[10670, 17023, 22312, 20045, 11120]",760000.0,765.2751423149905,GRANDE,"['Vitória', 'Vila Velha', 'Serra', 'Guarapari']",SIM,0.0,3.0,DIFERENTE,
S_3447859,5,4100.0,ECONOMICO,{'Vitória': 1},{3.0: 1},"[10670, 4671, 20045, 21455, 108]",744589.2,18060.712195121952,GRANDE,"['Serra', 'Guarapari', 'Vitória']",SIM,3.0,2.0,PROXIMO,
S_489379,5,390000.0,PADRAO,{'Vila Velha': 1},{3.0: 1},"[10670, 4671, 20045, 21455, 108]",744589.2,90.92030769230767,GRANDE,"['Serra', 'Guarapari', 'Vitória']",NAO,3.0,2.0,PROXIMO,
S_1504790,4,500000.0,PADRAO,{'Guarapari': 1},{5.0: 1},"[10670, 17023, 22312, 20045, 11120]",760000.0,52.0,GRANDE,"['Vitória', 'Vila Velha', 'Serra', 'Guarapari']",SIM,5.0,3.0,DIFERENTE,
S_116106,5,1000.0,ECONOMICO,{'Serra': 1},{1.0: 1},"[10670, 4671, 20045, 21455, 108]",744589.2,74358.92,GRANDE,"['Serra', 'Guarapari', 'Vitória']",SIM,1.0,2.0,PROXIMO,
S_2229638,5,240000.0,ECONOMICO,{'Vila Velha': 2},{0.0: 1},"[10670, 4671, 20045, 21455, 108]",744589.2,210.2455,GRANDE,"['Serra', 'Guarapari', 'Vitória']",NAO,0.0,2.0,DIFERENTE,
S_3497384,4,250000.0,ECONOMICO,{'Guarapari': 1},{1.0: 1},"[10670, 17023, 22312, 20045, 11120]",760000.0,204.0,GRANDE,"['Vitória', 'Vila Velha', 'Serra', 'Guarapari']",SIM,1.0,3.0,DIFERENTE,
